,sha,message,issues,files
1,46685b5669d870260a38c6231f02db50b6966ab2,Fix input boxes with borders (#167252),,"['src/vs/base/browser/dom.ts', 'src/vs/base/browser/ui/inputbox/inputBox.ts', 'src/vs/base/test/browser/dom.test.ts']"
2,d65e6e6b2f2525910648e295425754c83e1fcee2,Fix #167046 (#167230),,['extensions/github/src/importExportProfiles.ts']
3,dbc3941061693865e9dcc1f146900d9e7d719b3c,Fix #166433 (#167225),,['src/vs/workbench/contrib/extensions/browser/extensionsWorkbenchService.ts']
4,2fc042102239bd5237e2b308759aa62c3ade4a15,Fix #166120 (#167199),,['src/vs/platform/log/node/spdlogLog.ts']
5,ffb986916a9b54884231e262c869c8573d206a8f,Fix #162438 (#167176),,"['src/vs/workbench/services/views/common/viewContainerModel.ts', 'src/vs/workbench/services/views/test/browser/viewContainerModel.test.ts']"
6,2683a6aa9e525d30e40125e27d284fe2307736cc,Fixes merge editor bug (#167113),,"['src/vs/editor/test/node/diffing/fixtures/equals/1.txt', 'src/vs/editor/test/node/diffing/fixtures/equals/2.txt', 'src/vs/editor/test/node/diffing/fixtures/equals/experimental.expected.diff.json', 'src/vs/editor/test/node/diffing/fixtures/equals/smart.expected.diff.json', 'src/vs/workbench/contrib/mergeEditor/browser/model/diffComputer.ts']"
7,2043494b1272825d19209848341277b8a1797bcb,Fix #166727. Unreleased quick pick. (#167085),,['src/vs/workbench/contrib/notebook/browser/viewParts/notebookKernelQuickPickStrategy.ts']
8,d799b6c18f2568fb16587e2923c1d4a042051edb,Fix diagnostics for implicit activation events not appearing (#167081),,['extensions/extension-editing/src/extensionLinter.ts']
9,398cbd0b2ecb93a4e8441f877ddf9d3ee406e543,Fix #166724. Go to kernel source picker if there is no mru. (#167022),,"['src/vs/workbench/contrib/notebook/browser/contrib/kernelDetection/notebookKernelDetection.ts', 'src/vs/workbench/contrib/notebook/browser/services/notebookKernelServiceImpl.ts', 'src/vs/workbench/contrib/notebook/browser/viewParts/notebookKernelQuickPickStrategy.ts', 'src/vs/workbench/contrib/notebook/common/notebookKernelService.ts']"
10,4d4ca202b1c7bedfe82afd7faf1a5cf275bdc5af,Fix #166940 (#166981),,"['src/vs/workbench/api/browser/mainThreadProfilContentHandlers.ts', 'src/vs/workbench/services/userDataProfile/browser/userDataProfileImportExportService.ts', 'src/vs/workbench/services/userDataProfile/common/userDataProfile.ts', 'src/vscode-dts/vscode.proposed.profileContentHandlers.d.ts']"
11,7165673cfe64a9241a76b3756557d2052780f161,Corrected checkboxes on autoLockGroups settings UI (Fixes #164367) (#164369),,['src/vs/workbench/browser/parts/editor/editorConfiguration.ts']
12,33f92ae3518bb646f77ee1de8f1a457c0001c38c,Auto resolve conflicts when changes are equal (Fixes #165685) (#166963),,"['src/vs/workbench/contrib/mergeEditor/browser/model/mergeEditorModel.ts', 'src/vs/workbench/contrib/mergeEditor/browser/model/modifiedBaseRange.ts', 'src/vs/workbench/contrib/mergeEditor/test/browser/model.test.ts']"
13,0319eed971719ad48e9093daba9d65a5013ec5ab,Fix Modified elsewhere tabIndex bug (#166918),,['src/vs/workbench/contrib/preferences/browser/settingsEditorSettingIndicators.ts']
14,ad9e0692ed88b19f286742429d86cf5de69c120f,Fix side-by-side walkthrough artwork background (#166893),,['src/vs/workbench/contrib/welcomeGettingStarted/common/media/sideBySide.svg']
15,359765bb2f17c3c87cb10586c599919277d5e8dd,Fix theme picker thumbnail gap (#166887),,['src/vs/workbench/contrib/welcomeGettingStarted/browser/gettingStartedDetailsRenderer.ts']
16,064612297dae2944c5516daf01f6b214e592a6c3,Fixes diffing assertion failures (#166855),,"['src/vs/editor/test/node/diffing/diffing.test.ts', 'src/vs/editor/test/node/diffing/fixtures/penalize-fragmentation/1.txt', 'src/vs/editor/test/node/diffing/fixtures/penalize-fragmentation/2.txt', 'src/vs/editor/test/node/diffing/fixtures/penalize-fragmentation/experimental.expected.diff.json', 'src/vs/editor/test/node/diffing/fixtures/penalize-fragmentation/experimental.human.diff.json', 'src/vs/editor/test/node/diffing/fixtures/penalize-fragmentation/smart.expected.diff.json', 'src/vs/workbench/contrib/mergeEditor/browser/model/diffComputer.ts', 'src/vs/workbench/contrib/mergeEditor/browser/view/lineAlignment.ts', 'src/vs/workbench/contrib/mergeEditor/test/browser/model.test.ts']"
17,c8b406061e3299a8eeffed97974a083d1cfa9ca3,Fix #166611 (#166853),,"['src/vs/workbench/services/views/browser/viewDescriptorService.ts', 'src/vs/workbench/services/views/test/browser/viewDescriptorService.test.ts']"
18,8a06cae5feca72bb972400296671184d04b3fab7,Fixes #166717 (#166850),,['src/vs/editor/contrib/suggest/browser/suggestModel.ts']
19,22c0e9acf8a04bb94a445f642c45e01dc0a583ce,Fix typo in `Remote Tunnel Access is On` (#166770),,['src/vs/workbench/contrib/remoteTunnel/electron-sandbox/remoteTunnel.contribution.ts']
20,6b968ef3e13ab40806611ceb50aeaba9b1b905f2,Fix `@link` JSDoc rendering (#166757),,['src/vscode-dts/vscode.d.ts']
21,107d3ab28ceca3fedfee51b127992d249b7fceb3,Fix markdown scrolling between elements being too jumpy (#166746),,['extensions/markdown-language-features/preview-src/scroll-sync.ts']
22,a044bb14eabc357302f7bba56f58cc2d98a7ee11,Fix walkthrough content padding (#166675),,['src/vs/workbench/contrib/welcomeGettingStarted/browser/media/gettingStarted.css']
23,6336b3a863fa882d62b1337b12982be7fc451858,Fix CSS mistake introduced via b982536f83376e6266b3e0aaca6211699167b6cf (#166698),,['src/vs/editor/browser/viewParts/rulers/rulers.css']
24,f342709a4694d41036fc2c40e95b1e90b744d8af,Fix CSS mistakes introduced via ac05245aa83ed11cf02aa0a9779c8aa270c63179 (#166691),,['src/vs/editor/browser/viewParts/minimap/minimap.css']
25,77add9b3fe959c0d7200f056dd0ecb454743da5b,Fixes monaco editor diff editor (#166692),,['src/vs/editor/standalone/browser/standaloneServices.ts']
