3.x: Merge as() into to() (#6514)
3.x: Merge in changes from 2.x since the initial branching (#6498)
Merge branch '2.x' of https://github.com/ReactiveX/RxJava.git into 2.x
Merge pull request #4858 from akarnokd/FlatMapSingleElement
Merge FlowableEmitter.BackpressureMode into BackpressureStrategy (#4729)
2.x: Merge AmbArray and AmbIterable into Amb for Single, Maybe and Completable types (#4647)
Merge branch '2.x' of https://github.com/ReactiveX/RxJava.git into 2.x
Merge CancelledSubscriber into EmptySubscriber. (#4083)
Merge NbpCancelledSubscriber into NbpEmptySubscriber. (#4085)
Merge SerialDisposable and MultipleAssignmentDisposable. (#4070)
Merge pull request #3782 from stevegury/stevegury/2.x-design
Merge pull request #3783 from akarnokd/DesignRefactorMain2x
Merge pull request #3693 from stevegury/2.x
Merge pull request #3668 from akarnokd/Java6Backport
Merge pull request #3623 from adam-arold/2.x
Merge pull request #3380 from akarnokd/CombineLatestCleanup2x
Merge pull request #3449 from JakeWharton/jw/delete-code
Merge pull request #3376 from akarnokd/RxVsStreamPerf2x
Merge pull request #3382 from akarnokd/SpscLinkedArrayQueueCapacityUse2x
Merge pull request #3358 from akarnokd/SingleOperators2x
Merge pull request #3371 from akarnokd/NbpObservableOps2x
Merge pull request #3348 from ReactiveX/v2-design-flowable
Merge pull request #3349 from ReactiveX/v2-design-subject
Merge pull request #3353 from akarnokd/RangePerf2x
Merge pull request #3350 from ReactiveX/v2-design-lifecycle
Merge pull request #3352 from akarnokd/MergePerf2x
Merge pull request #3335 from akarnokd/ScalarFastPathEnable2x
Merge pull request #3334 from akarnokd/DisposableTests2x
Merge pull request #3333 from akarnokd/SubscribersTests2x
Merge pull request #3332 from akarnokd/SubjectTests
Merge pull request #3331 from akarnokd/SchedulersTests2x
Merge pull request #3330 from akarnokd/OperatorsTestZipFinish2x
Merge pull request #3329 from akarnokd/OperatorTestWindow2x
Merge pull request #3328 from akarnokd/OperatorTestsPack2xPart2
Merge pull request #3327 from akarnokd/OperatorTestsPack2x
Merge pull request #3326 from akarnokd/OperatorTestsThrottleFirstTimeIntervalTimeout2x
Merge pull request #3325 from akarnokd/OperatorTestsTake2x
Merge pull request #3324 from akarnokd/OperatorsTestSubscribeOnSwitch2x
Merge pull request #3323 from akarnokd/OperatorTestSkip2x
Merge pull request #3322 from akarnokd/OperatorTestSerializeSingle2x
Merge pull request #3321 from akarnokd/OperatorTestSampleScanEquals
Merge pull request #3320 from akarnokd/OperatorTestRetry2x
Merge pull request #3319 from akarnokd/OperatorTestReplay2x
Merge pull request #3318 from akarnokd/OperatorTestPublishReduceRepeat2x
Merge pull request #3317 from akarnokd/OperatorTestOnError2x
Merge pull request #3316 from akarnokd/OperatorTestOnBackpressure2x
Merge pull request #3315 from akarnokd/OperatorTestObserveOn2x
Merge pull request #3314 from akarnokd/OperatorTestIgnoreLastMapNotif2x
Merge pull request #3313 from akarnokd/OperatorTestGroupBy2x
Merge pull request #3312 from akarnokd/OperatorTestFlatMap2x
Merge pull request #3311 from akarnokd/OperatorTestElementAtFilterFinally2x
Merge pull request #3310 from akarnokd/OperatorTestDoOn2x
Merge pull request #3309 from akarnokd/OperatorTestDistinctEach
Merge pull request #3308 from akarnokd/OperatorTestsDelayDematerialize
Merge pull request #3307 from akarnokd/OperatorTestDebounceDefaultIfEmpty2x
Merge pull request #3306 from akarnokd/OperatorTestsCastConcat2x
Merge pull request #3305 from akarnokd/SingleAndNonBackpressured2x
Merge pull request #3303 from akarnokd/AsyncSubscription2x
Merge pull request #3301 from akarnokd/OperatorBufferTest2x
Merge pull request #3300 from akarnokd/OperatorTestsAllAnyAsObservable
Merge pull request #3299 from akarnokd/OperatorTestsToFutureUsing2x
Merge pull request #3298 from akarnokd/OperatorsTestsRefCountTimer2x
Merge pull request #3297 from akarnokd/OperatorFromIterableRange2x
Merge pull request #3294 from akarnokd/OperatorTests2xPart3
Merge pull request #3293 from akarnokd/OperatorTests2xPart2
Merge pull request #3292 from akarnokd/OperatorTests2xPart1
Merge pull request #3284 from akarnokd/ThrottleZipTests2x
Merge pull request #3283 from akarnokd/SubscriberTest2x
Merge pull request #3282 from akarnokd/WindowReduceTests2x
Merge pull request #3280 from akarnokd/ObservableTests2x
Merge pull request #3279 from akarnokd/TestsToDoOnObservable2x
Merge pull request #3278 from akarnokd/GroupByMergeNotificationTest2x
Merge pull request #3277 from akarnokd/ErrorHandlingTests2x
Merge pull request #3276 from akarnokd/ConcatTests2x
Merge pull request #3275 from akarnokd/CombineLatestTest2x
Merge pull request #3271 from akarnokd/UnitTestsPreparation
Merge pull request #3270 from akarnokd/UnicastSubjectExpansion2x
Merge pull request #3268 from akarnokd/Disposables2x
Merge pull request #3267 from akarnokd/OperatorGenerate2x
Merge pull request #3264 from akarnokd/AsyncObserver2x
Merge pull request #3263 from akarnokd/SubjectNullSafe2x
Merge pull request #3262 from akarnokd/WindowBoundary2x
