Merge branch 'roller/chromium/master'
Merge branch 'master' into roller/chromium/master
Merge remote-tracking branch 'origin/master' into roller/chromium/master
Merge branch 'master' into roller/chromium/master
Merge branch 'master' into roller/chromium/master
Merge pull request from GHSA-h9jc-284h-533g
Merge pull request #18891 from electron/groundwater-patch-1
Merge remote-tracking branch 'origin/master' into roller/chromium-ad1b791122c04bd91b825fbfbdf1ff4da82a0edb-1558011686736
Merge pull request #17507 from electron/chromium-upgrade/75
Merge pull request #17088 from electron/chromium-upgrade/74
Merge pull request #16494 from electron/chromium-upgrade/73
Merge remote-tracking branch 'origin/chromium-upgrade/72'
Merge pull request #16203 from electron/alkuzmin/add-external-binaries-config
Merge pull request #16252 from electron/miniak/guest-view-manager
Merge pull request #15019 from Anrock/child-window-location
Merge pull request #15405 from electron/chromium-upgrade/70
Merge pull request #12686 from Anrock/browserview-handle-window-open
Merge pull request #15618 from electron/system_netwok_context
Merge pull request #14972 from electron/chromium-upgrade/69
Merge pull request #14964 from electron/chromium-upgrade/68
Merge pull request #14868 from electron/fix-win-dump-syms
chore: initial work for running releases of GN build - Merge pull request #14831 from electron/prepare-for-4-nightlies
Merge pull request #14708 from electron/updates-for-gn-release
Merge pull request #14754 from electron/circle-ci-config-clean-up
Merge pull request #14733 from electron/reenable-app-exit-exitCode
Merge pull request #14729 from electron/verify-ffmpeg-on-a-separate-job
Merge pull request #14712 from electron/circle-no-map-merge
Merge pull request #14526 from jakubzitny/window-open-clarifications
Merge pull request #14688 from electron/run-clang-format
Merge pull request #14690 from electron/lint-runner-support-cc-fix
Merge pull request #14672 from electron/use-smaller-machines-on-linux-ci
Merge pull request #14686 from electron/refactor-circle-ci-mac-builds
Merge pull request #14663 from electron/add-fyi-job-for-chromium-tests
Merge pull request #14640 from electron/circle-ci-workspaces
Merge pull request #14613 from electron/update-standard
Merge pull request #14600 from electron/media-permission
Merge pull request #14590 from electron/remove-gn-build-define
Merge pull request #14575 from electron/do-not-use-libcc-in-ci-scripts
Merge pull request #14553 from electron/appveyor-yml
Merge pull request #13756 from electron/chromium-upgrade/67
gpu: Merge gpu_ipc_service_unittests into gpu_unittests
Merge pull request #14546 from electron/fix-pylint-errors
Merge pull request #14523 from electron/fix-webview-ignore-shortcuts
Merge pull request #14512 from electron/do-not-use-electron-gyp-for-verify-ffmpeg
Merge pull request #14487 from electron/manage-webview-webcontents
Merge pull request #14287 from electron/miniak/ipc-refactoring
Merge pull request #14107 from electron/channel_id_patch
Merge pull request #14314 from electron/disable-a-test
Merge pull request #14148 from electron/update-node
