"SHA","Message","","",""
"46685b5669d870260a38c6231f02db50b6966ab2","Fix input boxes with borders (#167252)","","",""
"d65e6e6b2f2525910648e295425754c83e1fcee2","Fix #167046 (#167230)","","",""
"dbc3941061693865e9dcc1f146900d9e7d719b3c","Fix #166433 (#167225)","","",""
"2fc042102239bd5237e2b308759aa62c3ade4a15","Fix #166120 (#167199)","","",""
"ffb986916a9b54884231e262c869c8573d206a8f","Fix #162438 (#167176)","","",""
"2683a6aa9e525d30e40125e27d284fe2307736cc","Fixes merge editor bug (#167113)","","",""
"2043494b1272825d19209848341277b8a1797bcb","Fix #166727. Unreleased quick pick. (#167085)","","",""
"d799b6c18f2568fb16587e2923c1d4a042051edb","Fix diagnostics for implicit activation events not appearing (#167081)","","",""
"7d206cd9c66f8a5a3f7e060773dc26b9a9f48e11","Fix success terminal decoration color","","",""
"398cbd0b2ecb93a4e8441f877ddf9d3ee406e543","Fix #166724. Go to kernel source picker if there is no mru. (#167022)","","",""
"4d4ca202b1c7bedfe82afd7faf1a5cf275bdc5af","Fix #166940 (#166981)","","",""
"7165673cfe64a9241a76b3756557d2052780f161","Corrected checkboxes on autoLockGroups settings UI (Fixes #164367) (#164369)","","",""
"33f92ae3518bb646f77ee1de8f1a457c0001c38c","Auto resolve conflicts when changes are equal (Fixes #165685) (#166963)","","",""
"0319eed971719ad48e9093daba9d65a5013ec5ab","Fix Modified elsewhere tabIndex bug (#166918)","","",""
"ad9e0692ed88b19f286742429d86cf5de69c120f","Fix side-by-side walkthrough artwork background (#166893)","","",""
"359765bb2f17c3c87cb10586c599919277d5e8dd","Fix theme picker thumbnail gap (#166887)","","",""
"064612297dae2944c5516daf01f6b214e592a6c3","Fixes diffing assertion failures (#166855)","","",""
"c8b406061e3299a8eeffed97974a083d1cfa9ca3","Fix #166611 (#166853)","","",""
"8a06cae5feca72bb972400296671184d04b3fab7","Fixes #166717 (#166850)","","",""
"22c0e9acf8a04bb94a445f642c45e01dc0a583ce","Fix typo in `Remote Tunnel Access is On` (#166770)","","",""
"42ccce8d4fcacd7b6066d3e8ba7c2f8618bc1e1a","Fix reference in webview","","",""
"626c64bc9a48591e226edd3c04a4bef9e886828e","Fix public overriding protected in terminal","","",""
"6b968ef3e13ab40806611ceb50aeaba9b1b905f2","Fix `@link` JSDoc rendering (#166757)","","",""
"107d3ab28ceca3fedfee51b127992d249b7fceb3","Fix markdown scrolling between elements being too jumpy (#166746)","","",""
"a044bb14eabc357302f7bba56f58cc2d98a7ee11","Fix walkthrough content padding (#166675)","","",""
"6336b3a863fa882d62b1337b12982be7fc451858","Fix CSS mistake introduced via b982536f83376e6266b3e0aaca6211699167b6cf (#166698)","","",""
"f342709a4694d41036fc2c40e95b1e90b744d8af","Fix CSS mistakes introduced via ac05245aa83ed11cf02aa0a9779c8aa270c63179 (#166691)","","",""
"77add9b3fe959c0d7200f056dd0ecb454743da5b","Fixes monaco editor diff editor (#166692)","","",""
"23b25e9d4d3aad79f59a087f25bffb859afea88e","Fix #166147 (#166648)","","",""
"e4d0fee10963c5622d71b486e928f608faa4b6b4","Correct updates to TestItem.error and TestItem.sortText (Fixes #166190)","","",""
"a61a96ba49b5455b40c09ece2e80c531726363ae","Fix casing of action widget hover","","",""
"4129bb21c985bfe611f2d8cf52b3ac0ed598cabe","Fix #166419. Simplify single suggested/selected kernel. (#166420)","","",""
"85e1bb0c06393e093c533962f6cf96d40f2bbad6","Fix code action list showing disabled code action (#166418)","","",""
"845706c0710710715a2461c824d31aa8f024e8ab","Fixes bug in diffing algorithm & improves fixture testing method.","","",""
"ed85aa196cf2e271670a5f9aceaa2f77a983ca03","Fixes leaking disposable","#20221114.46 failed","",""
"f0bfb2eb7122f61a563599aeb473255254a5298c","Fixes tests.","#20221114.39 failed","",""
"525509f7c6b0d7acbd5016dbcc4b4cf2eae7cfca","Fixes tests.","#20221114.25 failed","",""
"687514b9f49deedb153e918a0fc3774cef992dcf","Git - Fix optimistic UI update for untracked changes (#166277)","","",""
"79f348c0d647df2e6562be92c2a9ddf68655be89","Fix #164592 (#166276)","","",""
"a89e89544997a477cf4a9e58015a512a20764f81","Fixes #166180 (#166269)","","",""
"e793722b9ee1ea369188bdac805dca0a0effcd51","Fix typings for nb outline test. Re #164297 (#166084)","","",""
"e31078d3038e740711d52211f051a7084f98b90c","Fix bad method calls in notebook execution test","success","",""
"9f2be311ff72dc348c794d6d47aeb8cda881ebf4","Fix some test instantiation service errors in notebooks (#166069)","","",""
"178248752e7c90bcb0582279ae3a585dac66298e","Fix monaco compile checks","pending","",""
"4f30fd5a83b31b86d4e141fe38c1cd27062d01d7","Fix webview state update (#166048)","","",""
"4084786487bcbdac4bd7280691072c037e35fd0e","Fix edit sessions and settings sync views","","",""
"fc4a4ceee1e6f0c53c443958166d8d8cca795d61","Fix leak in comments widget (#166016)","","",""
"cf46b990f707105d712aaa070af74ca12b6b90eb","Fix #163013 (#165993)","","",""
"9d5741f01a67beea273121615b2d015fc298d9ea","Fix Windows unit tests (#165973)","","",""
"54543cf5bf178600cfea17355b4c201877132b5b","Fix: New md file scrolls to Top. (#164999)","","",""
"ad9a4ab198b21de2fa2eff563a45ec1e1a6f6a8a","Fix typings issues with `TestInstantiationService` (search)  (#165945)","","",""
"f9a4c1b4ed4841f37276cc3fb3ba117cb276dd75","Fix first party extension logging incorrect eventName (#165942)","","",""
"97f808debed2dd9e5564c11e1b4ad287e111fc57","Revert ""Fix for 1.73 broken snippet overtyping""","","",""
"b02f65e70d2cad0f50564f7511c92f94be8930e9","Fix debug response","success","",""
"96db0b339360bc72d27d869d81a557540ad5f800","Fix the PowerShell integration script #165022 (#165023)","","",""
"db16949a3f21f261a21fbd68e40b3145dcabfe61","Fix for 1.73 broken snippet overtyping","#20221108.108 failed","",""
"7461db4a4a7fc0270aad89595d033b9430f72b7a","Fix compile issue","","",""
"da28ee2062f1f0fedc694b5c0a1156e13f253437","Fix TestInstantiationService typing errors in terminal/task","","",""
"2c83f2ee8f6ee856b62f3bd09559fe91b3cba890","Fix terminal bottom shadow","","",""
"c6f126b3a1c80f2c338aa916a42379a424a454c8","Fix notebook serializer activation","","",""
"07a53514726d6e27b869b328a6d569e7764e1e24","Fix #160678 (#165747)","","",""
"2282be522a8031209a739783baede67bfa9fc95a","Fix edit session partial matches (#165782)","","",""
"eddb3e5c4a3a99547780c96f0b12a78aa416b087","Fix microsoft/vscode-remote-release#7324 Need to unblock the path to opening a local terminal"," 7 Nov 2022 11:27:40 -0800","success",""
"3c874be287c8009ccc5c1f29d43871d96ae3ce58","Fix UI string (#165554)","","",""
"803161c056037bc86de8ab7ed1ffc4235a45e73a","Fix #165480 (#165486)","","",""
"ed0fd3c9de95df87e84c2c3a61df73c64a6057c1","Fix #165410. No css variables defined at root. (#165519)","","",""
"5e47d25f80dda7ee83577a5d67b3fd1dfe91675d","Fix typings issues with TestInstantiationService #164297 (#165514)","","",""
"708cd91201b87ed04a2c69ad07f914f44cda0d71","Fixes `Terminal: Focus Terminal Tabs view` command not working (#164408)","","",""
"bd254f97021c1638edc142522cafbb99201d12cd","Fix arrows in side-by-side diff view","","",""
"1aaf61f6b939b99b71f4213e33c6218e8e5118fa","Fix tasks status incorrect #163393 (#163952)","","",""
"8b79a00f9f78443a6aff73c71b11c9beb695127f","Fix renderHeight being undefined (#165373)","","",""
"e9db45a0dec7a6fe622e7134a247cc45ec64a96f","Fix #164690 #164730 (#165331)","","",""
"209a5cd5174436412bc975a467d8f5e908c8aea9","Fixes #165238 (#165242)","","",""
"d9ed6d1ef4425d63428251a0182b5b9ae2b0d844","Revert ""Fix #164690 #164730 (#165279)"" (#165302)","","",""
"9c0c68c8cfd9341b8e345e409c5b434e5b80e14e","Fix #164690 #164730 (#165279)","","",""
"86b8ed4649d338758c8f1250811f9f7704fc1fc1","Fix autoreveal on file nest (#165272)","","",""
"6aaf830b9cfacd7e100fc0e5a59bf924580db75d","Fix some cases of incremental naming disabled (#165253)","","",""
"7fbec6dcc9262947012eb4dcbe763e6ec7b62ef0","Fix KaTeX equation numbering in notebook preview (#156276)","","",""
"d810d86c4cc295ad5b575b6c6528446cf3bf6f23","Audio Cues: Don't play the same sound in parallel. Fixes #164921 (#165194)","","",""
"5ab18068041a148195b124a0ec03aa1e0a273d24","Fix tree data provider being accessed after disposed (#165087)","","",""
"a64d5346e8c7dfe7c20b4b5cc9e0c33cd1c449f8","Fixes task reconnection status does not work for default build task (#165110)","","",""
"2a77746ca2892efd6497c93bf63bf8133bf2c199","Implements diffing fixture tests. Fixes #165041","#20221101.47 failed","",""
"9d55dde2d06620ed37ab2d92ef1871a2da9691a4","Fix #164630 (#165096)","","",""
"06a874de13fa809e12121e2ad8c7e5958c0e0fda","Fixes #156454","#20221031.16 failed","",""
"50b1bccd17b0d617885b1d1260179787ff727e41","Remove inlineCompletionsNew proposal. Fixes #164856 (#165044)","","",""
"7cb1b9d9f00550ffa914432d7ce8ac85d62655b8","Fix bugs with close of markdown docs (#164942)","","",""
"909151399639768d88851677f3c05eea33c02e21","Fix timeline not disposing of template properly (#164838)","","",""
"045d3bba7dece24e232bbb9e2752cd298022de39","Fix text of IW command palette entries (#164860)","","",""
"3544aabd5a2b0da2cd3a6f3fa3f00759aa9d9709","Fix markdown document deleting (#164829)","","",""
"98f401e8b951868cb4d9830e4c9ea0aa46292a3a","Fix .ipynb extension name capitalization (#164817)","","",""
"37f16a84a12562d5459eb1e33022f5926c48b143","Fixes #163931 (#164802)","","",""
"153f5c62c0351b40d15315880ca2a5feedf12745","Fix #164715. Turn cell into editing mode when there is a selection. (#164758)","","",""
"5f87632829dc3ac80203e2377727935184399431","Fix markdown server not updating documents properly on folder rename (#164752)","","",""
"09e3248f40dcfd22a43e1c2fabf53d0bdf729be2","Fix #164704. comment thread memory leak. (#164734)","","",""
"942cc4b3a749eafb32cea81c84ff7877bf1d55f1","Fix #162439 (#164719)","","",""
"002db8f362071745e25f199ce44e5caf65e9a41c","Fix #162240 (#164723)","","",""
"e145a12888b487c4c73a83b2459600080a9c3cd4","Fix #163163 (#164721)","","",""
"f7a53c85c7ba9cd3f6df3c91be7656cb9ef09831","Fix #164617 (#164717)","","",""
"d37ca50768ecdb7421c02b75a093667a9ede1a11","Fix #164606 (#164714)","","",""
"0ac843a716cc1d5ba4b07005bfb003d53477a63f","Tunnel: Fix host name issue (#164708)","","",""
"c3eebaead9d3bf1cb961b91fca1b8af31990d328","Fix accidental deletion of `vscode.proposed.contribNotebookStaticPreloads.d.ts` and make sure to include the check in the `compile-build` gulp task (#164681)","","",""
"812c9bedf2b73c71cf74eba7640bf35ef55659d1","Fix cloning with specific branch (#164619)","","",""
"35270405fca1001a90f7c91f8c6068720afd3731","Fix QuickPickItem JSDoc links in vscode.d.ts (#164474)","","",""
"ce6aa98b4a4a63cb3b20f52c1d56a4d366e85271","Fix auto-surround closes with an open character (#147187)","","",""
"9e5ffe9602bcf16f8c81b13b3e9a311350dc600e","Fixes telemetry bug by avoiding number in event name","","",""
"981234442060152423e9f360b6d9f7953ec79478","Fixes #160462 (#164449)","","",""
"f4d9b1d53db3118f3be5e5efaf83affab670502b","Fixes #161998 (#164444)","","",""
"6fb47867ef068aab0b6cca76dda66a3b370e15e0","Fixes #158948 (#164439)","","",""
"0492b9237f0b5edae948a27bcdf03b259f55ef97","Fixes #158207 (#164388)","","",""
"0091bcae2080e702ab91e39ed342977a018ef18d","Fixes #164073 (#164384)","","",""
"f1eae1a44df75482c83f2d47f659c8d088e08a4a","Fixes #163253 (#164378)","","",""
"238db20327c23db761b53c95d734332cc9c0e43e","Fix unit test","","",""
"d865f72001dd2f6f5732fdda3aad0de422825c0d","Fixes #162320: Add a button and a hover when a long line is truncated","#20221022.6 failed","",""
"314bda9e3d35e3fea9e9600721697a4f58cef756","Fix disable privileged ports for OSX (#163890)","","",""
"231d74daf6ade480ae1a43f73063bfda03d6fd05","Fix rendering of the editor.wrappingIndent setting (#164280)","","",""
"5c76d774a14057c2964ba400fbf8059dfe3ab9ec","Fixes #162814 (#164229)","","",""
"61c25e9b5a6b29252401bc0f2f23b6d06f4c3572","Fixes test failure.","","",""
"bfedd52034fd7003969ee621a887ca5da57d3e7d","Fix buggy error cleaning (#164175)","","",""
"35189f0d9f7e957cc6febbf55edf10a55b6d3742","Fix traffic lights x position","","",""
"c5832ef33cc90676c9b392a1031a094a5d602afc","Fixes #159995 (#164226)","","",""
"ad04aabdbe0550b6f3a92318025076ecb2f63da0","Fixes #163969 (#164221)","","",""
"bb39eb50fd28652489b3baf81bf4f2397919f7a8","Fix open preview for ipv6 addresses (#164156)","","",""
"330a897803aa20a964eca601f2af04be5ccd7be0","Fixes #163864","","",""
"98c15c2ab8be44a9512c394187502cb10c44f8ec","Fix argument","","",""
"d2114a401eb6dbe161ca447761758b06b6322dbc","Fixes newline in tree item label makes label unreadable  (#163995)","","",""
"33378c2ec086d7decf4beca69b20c82ed166a9d9","Fix organize imports (#164035)","","",""
"88d40efb9d38257c54b079db2bafaf0c12bb4060","Fix `getValueLengthInRange` implementation to convert its range from the view coordinate system to the model coordinate system","","",""
"b69147f48cc0db0202790117a68f0b2e8fe8c8ed","Fix tests","","",""
"75cdec29a4d0bbd25f088e8588f9f7f3b4c68ff2","Fix wrong proposed api check (#163964)","","",""
"b09701ac1b0ccb4e75e9a3b71596a91bcf2ff0fd","Fix duplicate port forwarding for statically forwarded ports (#163899)","","",""
"58574650b6ebec16b06215e7301f3456550cc010","Fix over sanitization of user agents (#163665)","","",""
"38b89a1b964e3356209421e28a0ca2bb097f8b63","Fix webview regression (#163916)","","",""
"bad3dcca69e0cff8a38e60f7d0bf0b97bd92bafe","Fix insert image/link for untitled files (#163897)","","",""
"6455bf1608dfa1b955717f66295f0f9200db0f73","Fix cycle in webview contrib imports  (#163712)","#20221016.1 failed","",""
"129dbaa32b9a7af0f0867b249379eca411a56f8b","Fix escape not hiding code action widget in notebooks (#163702)","#20221014.90 failed","",""
"1bca8df33306a9c220af9851c73f5a82c9dc50f5","Fixes #163151 (#163663)","","",""
"2204a16fb0808665178abb34c0e9033621b46592","Fix #163343","","",""
"404a282465e30995fe3dadfff9873ea52e8730a6","Fixes #163279 (#163573)","","",""
"bf85140dfdb36293e8169d01ce5a3dbeff1d3f6c","Fixes #162173 (#163548)","","",""
"1e9295c90899eb7c54c9f44f05e664200a60d371","Fix #163313 (#163542)","","",""
"74c0ed745953e4a100b90b88adf87606a097f8e7","Fix length in change event","","",""
"db9f5f9b9bdd06cc037607473513b59d85617082","Fix electron webviews not always updating `_webviewKeyboardHandler` when focus changes (#163495)","#76047 failed","",""
"3c9854fe860a3e679aab5312674e8a8f4229017c","Fixes #95328: Clamp the hover result range to make sure the hover stays on the same view line","","",""
"b2d129c4e559cc12a64340f8b36c9a93ddbffefe","Fix ipv6 support for simple browser (#163374)","#75994 failed","",""
"749f48091511250b543f244f49aedea57a6285f6","Fix ""Add Configuration"" launch.json button on Windows (#163444)","#75979 failed","",""
"8c946e23f45f39fdd982cff1e1fce02a8e3dc719","Git - Fix typo in setting description (#163400)","","",""
"72a982d0d3f9279bd5e0a594ddba771313012b3d","Fix typo in regex (#163404)","","",""
"24b8eb0d548828db3de30f1a33c4dcebb460047b","Fixes simple browser webview is not reused if restored (#163389)","","",""
"f5047cb4f00ad7f6f3910f294b6d0a7680cb3a08","Fix build (#163347)","","",""
"864b8b2b6c86b89b444807c00b4084ae743dbd69","Fix #163005 (#163339)","","",""
"391a6825bdb698049a702b0e520b1ed54990a4b9","Fixes #161993 (#163303)","","",""
"f232fdac984e22fd38d711e1ac096be6b6562749","Fixes #162111 (#163300)","","",""
"e8fe2d07d31f30698b9262dd5e1fcc59a85c6bb1","Fixes #162999 (#163263)","","",""
"ae34e8d2df286f8c8882d22db417e6dc4cdb01f5","Fix Download command not appearing in the remote indicator (#163232)","","",""
"f5b9fe32eb952187a35c947506b4f0da15693434","ðŸ› Fix unawaited call to show CWD picker","","",""
"241e230b24dc60dc8969992d0c9ec8f0b6874564","Fix #163180 (#163208)","","",""
"e929233fc81b9d72bea8adecbe758399e3c713e9","Fixes #162115 (#163206)","","",""
"96ee91332f0980eb3140ab549403a2e7db19ad19","Fix style of comment thread title (#163192)","","",""
"6ad64356e1ea2f2e44c960519c41e209cf288690","Fix #162739 (#163179)","","",""
"d53074babf60f0d1b9d93e6c86d130082184f5e1","Git - Fix Commit action button enablement regression (#163159)","","",""
"c3f5861ca2585a020a974c28aae45d1bce7edb62","Fix 'join all editor groups' for notebooks Fixes #134158","","",""
"a7153c246c7e12d955e2a6ba83d233ddcdeaf340","Fix many instances of not using ILocalizedString (#162978)","","",""
"e6dde6aad07dc41fed832bd747fdff780dda82de","Fix active terminal tab when moving a group to the bottom of the tabs list","","",""
"ba3536f6484db96b850801bbe93ba02b274a5f25","Fix terminal editor background padding color","","",""
"f91b3ac8ca669c68a4532990265b83ecc628678c","Fix #162502 (#162912)","","",""
"e6765420459e838c6dc57c471906c9ad67f009c9","Fix Webview find widget animation and restore (#162895)","","",""
"518b9d9c8a70845c389c007a1466a826bc35259d","Fix #161565 (#161567)","","",""
"c6aca1b2307c3030ce1c1eb7737a9eb5ff676cbe","Fix space->tab","","",""
"9ff5a9aaa9d9e4c2c518951abf03ffa9643efd42","Fix FreePortOutputRegex (#162323)","","",""
"c8ea6c85ef737d11f79b4248d0702b6f2c281087","Fix compile error on main (#162859)","","",""
