SHA,Message
ed85aa196cf2e271670a5f9aceaa2f77a983ca03,Fixes leaking disposable
f0bfb2eb7122f61a563599aeb473255254a5298c,Fixes tests.
525509f7c6b0d7acbd5016dbcc4b4cf2eae7cfca,Fixes tests.
db16949a3f21f261a21fbd68e40b3145dcabfe61,Fix for 1.73 broken snippet overtyping
2a77746ca2892efd6497c93bf63bf8133bf2c199,Implements diffing fixture tests. Fixes #165041
06a874de13fa809e12121e2ad8c7e5958c0e0fda,Fixes #156454
d865f72001dd2f6f5732fdda3aad0de422825c0d,Fixes #162320: Add a button and a hover when a long line is truncated
6455bf1608dfa1b955717f66295f0f9200db0f73,Fix cycle in webview contrib imports  (#163712)
129dbaa32b9a7af0f0867b249379eca411a56f8b,Fix escape not hiding code action widget in notebooks (#163702)
db9f5f9b9bdd06cc037607473513b59d85617082,Fix electron webviews not always updating `_webviewKeyboardHandler` when focus changes (#163495)
b2d129c4e559cc12a64340f8b36c9a93ddbffefe,Fix ipv6 support for simple browser (#163374)
749f48091511250b543f244f49aedea57a6285f6,"Fix ""Add Configuration"" launch.json button on Windows (#163444)"
1de34ba70ae1e332fbe9e8c3477d43185423ddb0,Fix terminal opening when multiple users are connected via remote-ssh
084179a026434f4f2759c29a94594f7a34dd6612,Fixes #157165
817d4180c1b79ec2c29fa3d3192d5c626059820b,Fix typo in documentation for tabSize
6519955afaa4fa55e10d5f695686c184485de538,Fixes
425a6dec811366e465958b57d0121413a4b538dc,Fix notebook perf markers (#155266)
2d126f68851876e1e367dcb42491d5359897a185,Fix link regex groups
c6d40837c0620066bfce980c94e14e1176a04a24,Fix incorrect common.version (#154825)
e02c71e3c60f552278e4f0a56ff20aeb131a96a0,Fix range of reference links (#154819)
1e00e605961a8b79b8d61955ba0260c722fce5cd,Fix typo
2b3912fa299f8c0e1e5beccb1de5e99f28118c92,Fix markdown extension path (#154656)
32e10d588247a94af33afe5ef91f5e0e27a91c05,SCM - Fix inconsistent outline for the commit action button (#154091)
6e3e8aa68822662dd5de879e060016e5aeaf978f,Fix #153730 (#154093)
671bd087d0bc89d92661d53bd5de50d8c6ed4edc,SCM - Fix issue with focusing the action button (#153825)
dd2c0a0da27335a62d2a2dd6db72bc81a39f03cf,Fixes #153715 - tweaks checkbox theme colors.
36351641a2051c81cc0134744e2983c111c27367,Fix #153171 (#153820)
6f902cde5b49dadbb9ccf136d8b7258740edaff3,"Revert ""Fixes #152785"""
