"SHA","Message","Build status"
"22b75589a03ed12a05493779eb03fcba2bcc93a3","Merge branch 'main' into issue/155543","1"
"63bedd28589f12b2b5ecc4a07951d73dac616e4d","Merge branch 'main' into exit-code-is-not-restored-when-PROMPT_COMMAND-is-an-array","1"
"eebf615a251ca3827ebd694e945fd967ec3d9226","Merge pull request #159822 from microsoft/sandy081/partial-dragonfly","1"
"b3c2847042471c3a416bcaf74541a4fe4bd4d8c9","Merge branch 'microsoft:main' into issue/155543","1"
"07ceed3d0920df31d659c0f1c771af306f843bed","Merge pull request #159764 from microsoft/tyriar/159761","1"
"ffa11990cb2c2eb4c91693d299d92b03f38b285e","Merge pull request #159788 from microsoft/dev/joyceerhl/unwilling-parrot","1"
"5efb186b4f43d27e5a56d16bef75ad3fbb81f8f6","Merge pull request #159770 from microsoft/tyriar/158595_2","1"
"2335d959257a86e290bd3e693298d387f3000c6e","Merge pull request #159300 from microsoft/joh/swc","1"
"73d08166e9050287cf6e020cae5c704bb9f23ec6","Merge pull request #159715 from microsoft/artificial-rhinoceros","1"
"47e556e91b4c9fb8e4f8d260ae7d7fc46d1029ca","Merge pull request #159670 from microsoft/tyriar/157611_2","1"
"98c9c2543a2b22c578ee1e9fb0b80f5ba539666b","Merge pull request #159681 from microsoft/tyriar/159678","1"
"fc4b583a4aee226beb453230c9ed04d5efdef21a","Merge pull request #159667 from microsoft/tyriar/159617_followup","1"
"99a7f26b70fe1162c169ea652d447e14df303497","Merge pull request #159611 from microsoft/sandy081/fix154090","1"
"95205a3cdd95618a5036ca44e1debbf568916668","Merge branch 'main' into joh/swc","1"
"d00804ec9b15b4a8ee064f601de1aa4a31510e55","Merge pull request #159661 from microsoft/joh/fast-pigeon","1"
"861eff6d40bfae882f2ec450120f4e0a524b5ff0","Merge pull request #159666 from microsoft/tyriar/156864","1"
"a9e28d5ee42f2dca8547752f31d149b6dd42ba1d","Merge pull request #159626 from microsoft/tyriar/159618","1"
"fa9d5ab1509108e2c9582f495d26eb49584d7fda","Merge pull request #159578 from microsoft/tyriar/osc_hyperlink","1"
"72f734b0064ca8cedda6d0b682dec0dd743f0f9e","Merge pull request #159617 from microsoft/tyriar/lgtm","1"
"dff9f597d466b6d4ecf95562ffb1a1f55147db06","Merge pull request #158609 from microsoft/tyriar/156179-options","1"
"af14c1036eab6be63b45e6c902dc368fd4285977","Merge pull request #159568 from microsoft/aiday/wrongOrderOfOutlineElements","1"
"93327316c0764f192eed5899571a415771e404a1","Merge pull request #159305 from microsoft/aiday/issue159136","1"
"95279b7671357d728895a37c8fc59abbb8160b2a","Merge branch 'main' into aiday/issue159136","1"
"f62d2c849f88b917a9a88fb7926d61a24122d25d","Merge pull request #159198 from microsoft/aiday/issue157165","1"
"3e44e34bfab740dc1406c273df153a193e24b472","Merge pull request #159488 from microsoft/dev/joyceerhl/inevitable-porcupine","1"
"ae2fde2b524f4753e7dc1f88eda5e8f784c05462","Merge branch 'main' into dev/joyceerhl/inevitable-porcupine","1"
"d1cc8561e497b24ed2e557dd51251e24f1543642","Merge pull request #159494 from microsoft/xterm_update","1"
"3cba0ec4bd5cc7cfd249c0ae1db5ba4f2191d42b","Merge pull request #159321 from microsoft/aiday/issue159271","1"
"b177848997ecfd5d70d825cabb6583f3d4f2e758","Merge pull request #159314 from microsoft/joh/registerSingleton-explicit","1"
"43ae27a30e7b5e8711bf6b218ee39872ed2b8ef6","Merge pull request #154098 from microsoft/joh/normal-crow","1"
"e18726faa9901880804716bc009476328902a322","Merge branch 'main' into joh/registerSingleton-explicit","1"
"2b53e15c8108952611d0fe4eca299f4784ab0a41","Makes some merge editor dev commands available in browser","1"
"1082c71d1b78073d4f9ee7a6e8744f8cfb96dd8f","Update merge editor diff and word diff colors (#159216)","1"
"fe743bbfe0c3affe13240df60703b42faa3530ac","Merge pull request #159231 from microsoft/regional-parakeet","1"
"59b4df03d29f246be6b6bb02ed512140cefd8910","Merge editor: use solid borders (#159208)","1"
"21aa6be73bfdd226e6d35ba7bc57235494004b85","Update Merge Editor Colors (#159199)","1"
"22c16c4091f696a2056fe020c9ba392775e02389","Merge pull request #159099 from microsoft/aiday/issue159064","1"
"bef7f2a86a087c8c73a9e00c6b09163eba08e47a","Merge pull request #159066 from microsoft/aeschli/terminalDecorationIcons","1"
"7f787e383d88cf2e2df5dd5d6a269e1b9c4e309b","Merge pull request #159121 from microsoft/tyriar/126023","1"
"18d584f2557f9f2e203c9fe68bd93623160081d1","Merge pull request #159120 from microsoft/tyriar/155532","1"
"778c818083cb6f1a9573bc2d94d0cbfd6ef627ad","Merge pull request #159117 from microsoft/tyriar/158497","1"
"c416626b45b78bfa256b635999cdc70d94b8adf4","Merge pull request #159096 from microsoft/unaware-platypus","1"
"aee288ea22c9887c159342bb3c3b01ad4c0e1719","Merge pull request #159085 from microsoft/mlively/pasteRefactor","1"
"6273efd6b6852ce77b49ee53f2482387689abb08","Merge branch 'main' into mlively/pasteRefactor","1"
"e1d50b06a522e9765b9d498e05a06af52e3a6503","Merge pull request #159031 from microsoft/aiday/issue156874","1"
"1bdec7a5d20e97f4eb333d773248fa065c7cfa02","Merge pull request #158887 from microsoft/aiday/issue158871","1"
"479d1ce4c1c632eace35e47f08a9cb25dd71ff2d","Merge branch 'main' into aiday/issue156874","1"
"3c7d0fe90c6adeeea888187cbff2726d4017028c","Merge pull request #159007 from mjbvz/witty-starfish","1"
"7a8e7a2af69bd6ee10cfd5b21f08cadb4837e074","Merge pull request #158930 from microsoft/ddossett/lexical-gayal","1"
"1e0957c492e85ecc134e1a1f9e5df948db6e6152","Merge branch 'main' into fix-53262","1"
"8cb8a76ac891c83d8967eea15228def90850de21","Merge Editor: minor updates to font and title bar styles (#158945)","1"
"0380d81838e30bcde7d91addaa32963b79b285eb","Merge pull request #158604 from microsoft/tyriar/158595","1"
"d5104dc1894e4a78b600662bf8958c7a2b9286a7","Merge pull request #158869 from microsoft/aiday/issue158813","1"
"68cda09553046ebbf7f3c22cbdea8752114fd2e0","Merge pull request #158892 from microsoft/joh/crooked-tahr","1"
"d5a59298e260cf82e9e7c7ed22c7ab0428ed89a9","Merge pull request #158782 from Semesse/exthost-lf-test","1"
"f9093f63756f78afcb77ffec4e6f0b25a0c8dedd","Merge pull request #158404 from microsoft/mlively/newCellPasteBug","1"
"4fd221627c33c5f572e380b24bd65aedf133a1e8","Merge Editor: update background and border colors (#158825)","1"
"e6b12e0895eb32023118f0cbf573ed1ebf7324f8","Merge Editor: use dashed borders for unhandled changes (#158815)","1"
"9034897df46dee1f0f6270dc60ea26b016dabe55","Merge branch 'main' into tyriar/156179-options","1"
"1076180257af86c0f540faf7f6087041bd37ef8c","Merge branch 'main' into mlively/newCellPasteBug","1"
"ce32c59fea9aaa14106948ec77d6633a54aed588","Use 1px borders for merge editor conflicts (#158796)","1"
"2fe3b4574ad5e329c03e5ba4cb82c1daff205835","Merge pull request #158794 from microsoft/tyriar/156385","1"
"da710e0071a7bcfd8ee65e6ce36d97cc9b915c3a","Merge pull request #158795 from microsoft/tyriar/156386","1"
"9b507bca623293fc9a7f739cd0173056597149bd","Merge pull request #158616 from microsoft/tyriar/156179-quickinput-find","1"
"650669abff7dcfccc04bc2649ffa0eeb5bfafc1e","Merge pull request #158559 from microsoft/aiday/issue157055","1"
"d143272ecbe8315ee118fecf7aa4cccf9a7f1ce0","Merge branch 'main' into fix-53262","1"
"4162134bd7ef7700793600d0fa1b2c2b77dc0221","Merge pull request #158730 from microsoft/aiday/issue158571","1"
"eab7774b3e8bf06ae18241302de33ac46a7d55ba","Merge pull request #152292 from etriebe/etriebe/add_firstmatchcanbeweak_option","1"
"b314c8f1fa4f25450965d94ba86564cd81ff7066","Merge pull request #158744 from microsoft/isidorn/stale-lemming","1"
"ac6a9ce604cfb6ebb5beb1aad7a9e0b42892232b","Merge pull request #158695 from microsoft/sandy081/yearling-otter","1"
"c2d963e9866f0d7660e3f70eb871c723240a715b","Merge pull request #158728 from microsoft/aiday/issue158563","1"
"45d2dd8c543d2874909d2e21cf9a59ef9df2f549","Improves merge marker presentation in merge editor. (#158738)","1"
"e009a3b518f4b81b63d0a5c8ccf51400aa8623b7","Merge pull request #158732 from microsoft/isidorn/characteristic-halibut","1"
"929a64a6b81abdb167f6ccf69deafe499cbca62c","Fixes scrolling bug in merge editor (#158721)","1"
"3892d2ae659ca462df7e0303d713d2512605da28","Merge branch 'main' into fix-53262","1"
"be093d260e306f8501aded133ea5b4e85ca2f293","Merge pull request #158630 from microsoft/tyriar/158326","1"
"5a5d62cd2779edcfb292293b56f1181915b07dc9","Merge pull request #158635 from microsoft/tyriar/121926","1"
"4ec47f2389d1d871bea48c91204c64eabe5fcb0d","Merge pull request #158629 from justschen/justin/moreWidgetWork","1"
"9f7ddb2f8b67f105c8e915281fa60c092d82836b","Merge branch 'main' into aiday/issue157055","1"
"856b42802fa0201fd28b6610519e266880ec15d0","Merge branch 'main' into justin/headerSettings","1"
"9c4c0442b1095be68226286d443886b9949a3a2b","Merge branch 'main' into etriebe/add_firstmatchcanbeweak_option","1"
"3cb582412f84abd630d3dfcc7d39014e68e765db","Merge pull request #157783 from babakks/support-other-terminals-cwd-sequence","1"
"6523fbe6363bb1e46c67cd36d8225c148775a27d","Merge pull request #158608 from microsoft/tyriar/156179-list-filter","1"
"0d950abb1021f6abb388ebd22e1691b1be841475","Merge branch 'main' into support-other-terminals-cwd-sequence","1"
"6e02893369c442f77bf08755d0de0edb34dcbde0","Merge branch 'microsoft:main' into justin/headerSettings","1"
"2b22d8bfa423a02cb5f531b9d2ecb79c17f5adbb","Merge branch 'main' into etriebe/add_firstmatchcanbeweak_option","1"
"78cd55abf3d9426b1364e59f492e3e7a9c66e049","Merge pull request #158600 from microsoft/tyriar/158597","1"
"1e6ac12df197fc3e5d1c1bdb25702125cccb135a","Merge pull request #158266 from microsoft/aiday/stickyScrollTesting","1"
"a3f5d2437b832338cdb8fae87f2450608bb122d0","Merge pull request #152008 from CsCherrYY/cs-reference-view-api","1"
"b6f53f1d7855ef1faa88799caeafd5fe1c7cfcf8","Merge branch 'main' into aiday/stickyScrollTesting","1"
"11b6d009a4ec1567b50ba2c0ac5235d5db8ba1e9","Merge branch 'main' into cs-reference-view-api","1"
"28f604dec81b609dd7e69362585f7a99d4c48f88","Merge pull request #158534 from microsoft/tyriar/pin_case","1"
"771b8659042f2d76ba1b0e5e39f88e5d4b89f082","Merge branch 'main' into mlively/newCellPasteBug","1"
